year,season,noc,team,sport,event,medal
1904,Summer,USA,Missouri Athletic Club-3,Water Polo,Water Polo Men's Water Polo,Bronze
1904,Summer,USA,Missouri Athletic Club-3,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay,Bronze
1988,Summer,USA,United States,Swimming,Swimming Women's 400 metres Freestyle,Gold
1988,Summer,USA,United States,Swimming,Swimming Women's 800 metres Freestyle,Gold
1988,Summer,USA,United States,Swimming,Swimming Women's 400 metres Individual Medley,Gold
1992,Summer,USA,United States,Swimming,Swimming Women's 400 metres Freestyle,Silver
1992,Summer,USA,United States,Swimming,Swimming Women's 800 metres Freestyle,Gold
1968,Summer,USA,United States,Athletics,Athletics Men's 400 metres,Gold
1968,Summer,USA,United States,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
1980,Summer,AUS,Australia,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
1984,Summer,AUS,Australia,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
1948,Summer,USA,United States,Sailing,Sailing Mixed One Person Dinghy,Silver
1972,Summer,GBR,Great Britain,Boxing,Boxing Men's Light-Flyweight,Bronze
1908,Summer,GBR,Great Britain,Boxing,Boxing Men's Heavyweight,Silver
1952,Summer,USA,United States,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
1924,Summer,AUS,Australia,Diving,Diving Men's Plain High,Gold
1996,Summer,FRA,France,Cycling,Cycling Women's Points Race,Gold
1928,Winter,NOR,Norway,Speed Skating,Speed Skating Men's 500 metres,Gold
1928,Winter,NOR,Norway,Speed Skating,"Speed Skating Men's 1,500 metres",Silver
1928,Winter,NOR,Norway,Speed Skating,"Speed Skating Men's 5,000 metres",Bronze
1932,Winter,NOR,Norway,Speed Skating,Speed Skating Men's 500 metres,Silver
1948,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
1932,Summer,GBR,Great Britain,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
1972,Summer,SUI,Switzerland,Fencing,"Fencing Men's epee, Team",Silver
1976,Summer,SUI,Switzerland,Fencing,"Fencing Men's epee, Team",Bronze
1988,Summer,USA,United States,Athletics,Athletics Men's 400 metres,Bronze
1988,Summer,USA,United States,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
2000,Summer,GER,Germany,Rowing,Rowing Women's Quadruple Sculls,Gold
2004,Summer,NZL,New Zealand,Rowing,Rowing Women's Double Sculls,Gold
2008,Summer,NZL,New Zealand,Rowing,Rowing Women's Double Sculls,Gold
1984,Summer,FRG,West Germany,Athletics,Athletics Women's Heptathlon,Bronze
2008,Summer,POR,Portugal,Athletics,Athletics Men's Triple Jump,Gold
1948,Summer,USA,United States,Athletics,Athletics Men's 100 metres,Silver
1948,Summer,USA,United States,Athletics,Athletics Men's 200 metres,Silver
1908,Summer,CAN,Canada,Shooting,Shooting Men's Trap,Gold
1900,Summer,USA,United States,Athletics,Athletics Men's Standing High Jump,Gold
1900,Summer,USA,United States,Athletics,Athletics Men's Standing Long Jump,Gold
1900,Summer,USA,United States,Athletics,Athletics Men's Standing Triple Jump,Gold
1904,Summer,USA,United States,Athletics,Athletics Men's Standing High Jump,Gold
1904,Summer,USA,United States,Athletics,Athletics Men's Standing Long Jump,Gold
1904,Summer,USA,United States,Athletics,Athletics Men's Standing Triple Jump,Gold
1906,Summer,USA,United States,Athletics,Athletics Men's Standing High Jump,Gold
1906,Summer,USA,United States,Athletics,Athletics Men's Standing Long Jump,Gold
1908,Summer,USA,United States,Athletics,Athletics Men's Standing High Jump,Gold
1908,Summer,USA,United States,Athletics,Athletics Men's Standing Long Jump,Gold
1900,Summer,GBR,Olle,Sailing,Sailing Mixed 2-3 Ton,Gold
1904,Summer,USA,United States,Gymnastics,"Gymnastics Men's Individual All-Around, 4 Events",Silver
1904,Summer,USA,United States,Gymnastics,Gymnastics Men's Horse Vault,Gold
1904,Summer,USA,United States,Gymnastics,Gymnastics Men's Parallel Bars,Gold
1904,Summer,USA,United States,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
1904,Summer,USA,United States,Gymnastics,Gymnastics Men's Rope Climbing,Gold
1904,Summer,USA,United States,Gymnastics,Gymnastics Men's Side Horse,Silver
2000,Summer,MAR,Morocco,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
2012,Summer,ITA,Italy,Shooting,Shooting Men's Trap,Silver
1988,Summer,HUN,Hungary,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
1956,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
1964,Summer,MEX,Mexico,Boxing,Boxing Men's Bantamweight,Bronze
2008,Summer,BRA,Brazil-1,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
2014,Winter,SLO,Slovenia,Cross Country Skiing,Cross Country Skiing Women's Sprint,Bronze
1952,Summer,ITA,Italy,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
1956,Summer,ITA,Italy,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
2006,Winter,ITA,Italy,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
2006,Winter,ITA,Italy,Speed Skating,"Speed Skating Men's 5,000 metres",Bronze
2008,Summer,ITA,Italy,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
1928,Summer,ITA,Italy,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
2000,Summer,LAT,Latvia,Athletics,Athletics Men's 50 kilometres Walk,Silver
1988,Summer,URS,Soviet Union,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
1992,Summer,EUN,Unified Team,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
1928,Summer,EST,Tutti V,Sailing,Sailing Mixed 6 metres,Bronze
1996,Summer,POL,Poland,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
1948,Summer,ITA,Italy,Rowing,Rowing Men's Coxless Fours,Gold
1956,Summer,ITA,Italy,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
1952,Summer,USA,United States,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
1936,Summer,SWE,Sweden,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Bronze
1948,Summer,SWE,Sweden,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
1988,Summer,GDR,East Germany,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1912,Summer,GER,Germany,Swimming,Swimming Men's 100 metres Backstroke,Silver
1984,Summer,FRG,West Germany,Swimming,Swimming Men's 200 metres Freestyle,Bronze
1984,Summer,FRG,West Germany,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
1988,Summer,FRG,West Germany,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
1912,Summer,FRA,France,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
1908,Summer,GBR,Leander Club #2-2,Rowing,Rowing Men's Coxless Pairs,Silver
1992,Summer,GBR,Great Britain,Judo,Judo Women's Lightweight,Silver
2000,Summer,AUS,Australia,Archery,Archery Men's Individual,Gold
2010,Winter,CRO,Croatia,Biathlon,Biathlon Men's 10 kilometres Sprint,Bronze
2008,Summer,BRA,Brazil,Taekwondo,Taekwondo Women's Heavyweight,Bronze
1988,Summer,BRA,Brazil,Sailing,Sailing Mixed Two Person Keelboat,Bronze
2012,Summer,BRA,Brazil,Boxing,Boxing Men's Light-Heavyweight,Bronze
1972,Summer,FRG,West Germany,Athletics,Athletics Women's 800 metres,Gold
1992,Summer,FIN,Finland,Archery,Archery Men's Team,Silver
1996,Summer,ITA,Italy,Shooting,Shooting Men's Skeet,Gold
1996,Summer,CUB,Cuba,Swimming,Swimming Men's 100 metres Backstroke,Silver
1952,Winter,GER,Germany-1,Figure Skating,Figure Skating Mixed Pairs,Gold
1952,Winter,NOR,Norway,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Silver
1952,Summer,NOR,Encore,Sailing,Sailing Mixed 5.5 metres,Silver
1924,Summer,USA,United States,Diving,Diving Men's Platform,Silver
2014,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Women's Sprint,Gold
1972,Summer,TCH,Czechoslovakia,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Silver
1968,Winter,FRA,France,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Silver
1968,Winter,FRA,France,Alpine Skiing,Alpine Skiing Women's Slalom,Bronze
1996,Summer,CHN,China,Gymnastics,Gymnastics Men's Team All-Around,Silver
1996,Summer,CHN,China,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
2014,Winter,CHN,China,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",Silver
2016,Summer,CHN,China,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1980,Summer,GDR,East Germany,Boxing,Boxing Men's Heavyweight,Bronze
1936,Summer,GBR,Great Britain,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
2016,Summer,CRO,Croatia,Sailing,Sailing Men's Two Person Dinghy,Gold
1948,Summer,ITA,Italy,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
2012,Summer,GBR,Great Britain,Athletics,"Athletics Men's 5,000 metres",Gold
2012,Summer,GBR,Great Britain,Athletics,"Athletics Men's 10,000 metres",Gold
2016,Summer,GBR,Great Britain,Athletics,"Athletics Men's 5,000 metres",Gold
2016,Summer,GBR,Great Britain,Athletics,"Athletics Men's 10,000 metres",Gold
1976,Summer,FRG,West Germany,Rowing,Rowing Men's Coxed Fours,Bronze
1984,Summer,USA,United States,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
1956,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Bronze
1960,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
1992,Summer,HUN,Hungary,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
1972,Summer,HUN,Hungary,Fencing,"Fencing Women's Foil, Individual",Silver
1972,Summer,HUN,Hungary,Fencing,"Fencing Women's Foil, Team",Silver
1976,Summer,HUN,Hungary,Fencing,"Fencing Women's Foil, Team",Bronze
1992,Summer,USA,United States,Athletics,Athletics Women's 400 metres Hurdles,Silver
1904,Summer,USA,Seawanhaka Boat Club-1,Rowing,Rowing Men's Coxless Pairs,Gold
1928,Winter,USA,United States,Speed Skating,Speed Skating Men's 500 metres,Bronze
1968,Summer,USA,United States,Athletics,Athletics Men's 800 metres,Bronze
2014,Winter,USA,United States,Snowboarding,Snowboarding Women's Halfpipe,Gold
1956,Summer,BAH,Gem IV,Sailing,Sailing Mixed Two Person Keelboat,Bronze
1948,Winter,NOR,Norway,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
1972,Summer,FRG,West Germany,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
1988,Winter,SUI,Switzerland-1,Bobsleigh,Bobsleigh Men's Four,Gold
1900,Summer,SWE,Sweden,Athletics,Athletics Men's Marathon,Bronze
2014,Winter,RUS,Russia,Speed Skating,Speed Skating Women's 500 metres,Silver
1936,Summer,ITA,Italy,Art Competitions,"Art Competitions Mixed Literature, Lyric Works",Silver
2000,Summer,GBR,Great Britain,Shooting,Shooting Men's Double Trap,Gold
1994,Winter,ITA,Italy,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,Bronze
1998,Winter,ITA,Italy,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Bronze
1932,Summer,USA,United States,Diving,Diving Women's Springboard,Bronze
1968,Winter,SUI,Switzerland,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
1948,Summer,EGY,Egypt,Weightlifting,Weightlifting Men's Featherweight,Gold
2012,Summer,HUN,Hungary,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
1988,Summer,YUG,Yugoslavia,Table Tennis,Table Tennis Women's Doubles,Bronze
1932,Summer,USA,United States,Boxing,Boxing Men's Heavyweight,Bronze
2000,Summer,UKR,Ukraine,Boxing,Boxing Men's Light-Heavyweight,Bronze
2008,Summer,SUI,Switzerland,Tennis,Tennis Men's Doubles,Gold
2012,Summer,SUI,Switzerland,Tennis,Tennis Men's Singles,Silver
1992,Summer,EUN,Unified Team,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
1980,Summer,URS,Soviet Union,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
2004,Summer,RUS,Russia,Rowing,Rowing Men's Quadruple Sculls,Gold
2008,Summer,UKR,Ukraine,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
1964,Summer,URS,Soviet Union,Athletics,Athletics Men's Triple Jump,Silver
1968,Summer,URS,Soviet Union,Diving,Diving Women's Springboard,Silver
1994,Winter,RUS,Russia,Speed Skating,"Speed Skating Women's 1,500 metres",Silver
1924,Summer,USA,United States,Boxing,Boxing Men's Flyweight,Bronze
1952,Winter,SUI,Switzerland-1,Bobsleigh,Bobsleigh Men's Two,Bronze
1952,Winter,SUI,Switzerland-1,Bobsleigh,Bobsleigh Men's Four,Bronze
1936,Summer,AUT,Austria,Weightlifting,Weightlifting Men's Lightweight,Gold
1964,Winter,AUT,Austria-1,Luge,Luge Mixed (Men)'s Doubles,Gold
2000,Summer,RUS,Russia,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
1928,Summer,GER,Germany,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Bronze
1992,Winter,AUT,Austria,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
2004,Summer,USA,United States,Athletics,Athletics Women's 200 metres,Silver
2008,Summer,USA,United States,Athletics,Athletics Women's 200 metres,Silver
2008,Summer,USA,United States,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
2012,Summer,USA,United States,Athletics,Athletics Women's 200 metres,Gold
2012,Summer,USA,United States,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
2016,Summer,USA,United States,Athletics,Athletics Women's 400 metres,Silver
2008,Summer,GBR,Great Britain,Modern Pentathlon,Modern Pentathlon Women's Individual,Silver
1956,Winter,SUI,Switzerland,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
1900,Summer,GER,Ludwigshafener Ruder Verein-1,Rowing,Rowing Men's Coxed Fours,Bronze
1976,Winter,FRG,West Germany,Luge,Luge Men's Singles,Silver
2008,Summer,CHN,China,Volleyball,Volleyball Women's Volleyball,Bronze
2016,Summer,CHN,China,Golf,Golf Women's Individual,Bronze
2008,Summer,SGP,Singapore,Table Tennis,Table Tennis Women's Team,Silver
2012,Summer,SGP,Singapore,Table Tennis,Table Tennis Women's Singles,Bronze
2012,Summer,SGP,Singapore,Table Tennis,Table Tennis Women's Team,Bronze
2012,Summer,CHN,China,Gymnastics,Gymnastics Men's Parallel Bars,Gold
1908,Summer,GBR,Leander Club #1-1,Rowing,Rowing Men's Coxless Pairs,Gold
2014,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Women's Super G,Gold
2014,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Silver
2006,Winter,USA,United States,Curling,Curling Men's Curling,Bronze
1920,Summer,USA,United States,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
1920,Summer,USA,United States,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Gold
1920,Summer,USA,United States,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Bronze
1920,Summer,USA,United States,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Gold
1968,Summer,HUN,Hungary,Fencing,"Fencing Men's epee, Team",Gold
1972,Summer,HUN,Hungary,Fencing,"Fencing Men's epee, Individual",Gold
1960,Summer,URS,Soviet Union,Boxing,Boxing Men's Middleweight,Bronze
2004,Summer,RUS,Russia,Athletics,Athletics Women's Pole Vault,Silver
2008,Summer,RUS,Russia,Athletics,Athletics Women's Pole Vault,Bronze
2012,Summer,FRA,France,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
1948,Summer,HUN,Hungary,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
1972,Summer,USA,United States,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
1964,Summer,USA,United States,Swimming,Swimming Women's 100 metres Backstroke,Gold
1984,Summer,NZL,New Zealand,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
1984,Summer,NZL,New Zealand,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
1988,Summer,NZL,New Zealand,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
1988,Summer,NZL,New Zealand,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
2004,Summer,BAH,Bahamas,Athletics,Athletics Women's 200 metres,Bronze
1996,Summer,HUN,Hungary,Weightlifting,Weightlifting Men's Lightweight,Bronze
1968,Summer,SWE,Sweden,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
2008,Summer,POR,Portugal,Triathlon,Triathlon Women's Olympic Distance,Silver
1984,Summer,FRG,West Germany,Water Polo,Water Polo Men's Water Polo,Bronze
2004,Summer,ESP,Spain,Athletics,Athletics Men's 20 kilometres Walk,Silver
1992,Summer,USA,United States,Tennis,Tennis Women's Doubles,Gold
1996,Summer,USA,United States,Tennis,Tennis Women's Doubles,Gold
1996,Summer,ESP,Spain,Judo,Judo Women's Lightweight,Bronze
2000,Summer,ESP,Spain,Judo,Judo Women's Lightweight,Gold
1992,Summer,USA,United States,Tennis,Tennis Women's Singles,Bronze
2004,Summer,ESP,Spain,Sailing,Sailing Mixed Skiff,Gold
2008,Summer,ESP,Spain,Sailing,Sailing Mixed Skiff,Silver
1992,Winter,ESP,Spain,Alpine Skiing,Alpine Skiing Women's Slalom,Bronze
1972,Winter,ESP,Spain,Alpine Skiing,Alpine Skiing Men's Slalom,Gold
2004,Summer,RSA,South Africa,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1976,Summer,ITA,Italy,Archery,Archery Men's Individual,Bronze
1980,Summer,ITA,Italy,Archery,Archery Men's Individual,Bronze
2000,Summer,FRA,France,Fencing,"Fencing Men's Foil, Team",Gold
1976,Summer,ITA,Italy,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Bronze
1992,Summer,ITA,Italy,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
2000,Summer,ITA,Italy,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
1996,Summer,BRA,Brazil,Sailing,Sailing Mixed Two Person Keelboat,Gold
2000,Summer,BRA,Brazil,Sailing,Sailing Mixed Two Person Keelboat,Bronze
2004,Summer,BRA,Brazil,Sailing,Sailing Men's Two Person Keelboat,Gold
1992,Summer,RSA,South Africa,Tennis,Tennis Men's Doubles,Silver
1968,Summer,USA,United States,Athletics,Athletics Women's 100 metres,Silver
1980,Summer,CUB,Cuba,Judo,Judo Men's Half-Middleweight,Silver
2004,Summer,ESP,Spain,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
2004,Summer,ESP,Spain,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
1968,Summer,USA,United States,Swimming,Swimming Men's 200 metres Butterfly,Bronze
1968,Summer,USA,United States,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
1960,Summer,GBR,Great Britain,Diving,Diving Women's Springboard,Bronze
1996,Summer,AUS,Australia,Cycling,Cycling Women's Sprint,Silver
2000,Summer,AUS,Australia,Cycling,Cycling Women's 500 metres Time Trial,Silver
1932,Summer,GBR,Great Britain,Athletics,Athletics Men's Marathon,Silver
2010,Winter,SWE,Sweden,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,Gold
1964,Summer,USA,United States,Rowing,Rowing Men's Coxed Pairs,Gold
1980,Summer,AUT,Austria,Sailing,Sailing Mixed Two Person Keelboat,Silver
1980,Summer,URS,Soviet Union,Swimming,Swimming Men's 200 metres Butterfly,Gold
1980,Summer,URS,Soviet Union,Swimming,Swimming Men's 400 metres Individual Medley,Silver
2012,Summer,RUS,Russia,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
1992,Summer,GER,Germany,Table Tennis,Table Tennis Men's Doubles,Silver
1904,Summer,USA,United States,Athletics,Athletics Men's Shot Put,Bronze
2016,Summer,ITA,Italy,Fencing,"Fencing Women's epee, Individual",Silver
1952,Summer,ROU,Romania,Boxing,Boxing Men's Lightweight,Bronze
1976,Summer,TCH,Czechoslovakia,Athletics,Athletics Women's Shot Put,Bronze
2016,Summer,ITA,Italy,Fencing,"Fencing Men's epee, Team",Silver
1988,Summer,FRG,West Germany,Fencing,"Fencing Women's Foil, Individual",Gold
1912,Summer,SWE,Sweden-1,Tennis,Tennis Mixed Doubles,Silver
1912,Summer,SWE,Sweden-3,Tennis,"Tennis Mixed Doubles, Covered Courts",Bronze
1988,Summer,GDR,East Germany,Athletics,Athletics Women's 400 metres Hurdles,Bronze
1992,Summer,GER,Germany,Cycling,Cycling Men's Sprint,Gold
1996,Summer,GER,Germany,Cycling,Cycling Men's Sprint,Gold
2000,Summer,GER,Germany,Cycling,Cycling Men's Sprint,Bronze
2000,Summer,GER,Germany,Cycling,Cycling Men's Keirin,Bronze
2004,Summer,GER,Germany,Cycling,Cycling Men's Team Sprint,Gold
2004,Summer,GER,Germany,Fencing,"Fencing Men's epee, Team",Bronze
1972,Winter,GDR,East Germany,Luge,Luge Men's Singles,Bronze
1920,Summer,FRA,France,Equestrianism,"Equestrianism Men's Vaulting, Individual",Silver
1908,Summer,GBR,Gyrinus-1,Motorboating,Motorboating Mixed B-Class (Under 60 Feet),Gold
1908,Summer,GBR,Gyrinus-1,Motorboating,Motorboating Mixed C-Class,Gold
2016,Summer,USA,United States,Cycling,Cycling Men's BMX,Gold
1924,Summer,USA,United States,Boxing,Boxing Men's Featherweight,Gold
1956,Summer,USA,United States,Rowing,Rowing Men's Coxless Pairs,Gold
1984,Winter,SUI,Switzerland,Alpine Skiing,Alpine Skiing Women's Downhill,Gold
1988,Winter,SUI,Switzerland,Alpine Skiing,Alpine Skiing Women's Super G,Silver
1976,Summer,CUB,Cuba,Volleyball,Volleyball Men's Volleyball,Bronze
2012,Summer,COL,Colombia,Weightlifting,Weightlifting Men's Featherweight,Silver
2016,Summer,COL,Colombia,Weightlifting,Weightlifting Men's Featherweight,Gold
